ProductID,ClusterAssignment
5,6
6,0
7,0
8,0
9,7
10,1
11,3
12,0
13,1
14,6
15,0
16,1
17,1
18,2
19,6
20,2
21,3
22,7
23,7
24,5
25,2
26,3
27,2
28,2
29,7
30,2
31,0
32,0
33,2
34,0
35,2
36,7
37,8
38,0
39,2
40,2
41,0
42,7
43,1
44,6
45,2
46,7
47,1
48,0
49,6
50,2
51,6
52,7
53,7
54,8
55,0
56,1
57,0
58,7
59,1
60,1
61,6
62,3
63,4
64,7
65,0
66,4
67,1
68,4
69,7
70,6
71,7
72,5
73,2
74,4
75,2
76,7
77,2
78,2
79,0
80,0
81,8
82,1
83,6
84,5
85,5
86,0
87,6
88,7
89,2
90,4
91,1
92,7
93,0
94,2
95,6
96,0
97,8
98,6
99,6
100,6
101,7
102,5
103,1
104,6
105,8
106,3
107,1
108,2
109,7
110,5
111,1
112,7
113,7
114,7
115,4
116,1
117,7
118,0
119,1
120,1
121,1
122,5
123,7
124,6
125,2
126,1
127,2
128,7
129,1
130,2
131,1
132,7
133,2
134,4
135,2
136,3
137,6
138,3
139,0
140,5
141,5
142,7
143,3
144,0
145,2
146,0
147,2
148,5
149,6
150,2
151,8
152,6
153,2
154,6
155,0
156,6
157,8
158,0
159,5
160,6
161,1
162,6
163,1
164,4
165,0
166,3
167,1
168,6
169,6
170,1
171,7
172,2
173,0
174,6
175,1
176,1
177,2
178,6
179,0
180,2
181,7
182,4
183,8
184,4
185,6
186,0
187,5
188,2
189,1
190,3
191,1
192,5
193,4
194,6
195,6
196,5
197,7
198,7
199,0
200,2
201,6
202,2
203,3
204,1
205,0
206,7
207,4
208,1
209,5
210,1
211,7
212,6
213,0
214,2
215,5
216,2
217,7
218,5
219,4
220,0
221,3
222,6
223,6
224,5
225,1
226,6
227,2
228,0
229,0
230,6
231,6
232,6
233,1
234,1
235,6
236,7
237,4
238,6
239,4
240,2
241,0
242,2
243,4
244,5
245,5
246,3
247,7
248,6
249,7
250,2
251,6
252,6
253,0
254,1
255,7
256,7
257,4
258,6
259,5
260,6
261,0
262,0
263,6
264,7
265,1
266,5
267,7
268,5
269,0
270,2
271,4
272,3
273,0
274,0
275,5
276,0
277,1
278,7
279,2
280,6
281,2
282,5
283,8
284,4
285,6
286,6
287,6
288,5
289,2
290,5
291,4
292,8
293,6
294,2
295,1
296,2
297,6
298,0
299,5
300,0
301,1
302,0
303,1
304,5
305,6
306,7
307,2
308,2
309,8
310,0
311,4
312,2
313,7
314,0
315,2
316,5
317,8
318,7
319,2
320,1
321,1
322,2
323,5
324,2
325,0
326,1
327,2
328,3
329,1
330,6
331,7
332,4
333,6
334,7
